ID,Name,Image,Refrigerated,Frozen
VEG49,Me chua,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,7,-1
RIC08,Mì vắt,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,-1,-1
MEA07,Mỡ heo,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,3,60
SEA12,Mực ống,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,3,60
SPI34,Muối,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,-1,-1
VEG50,Mướp hương,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,5,-1
VEG51,Nấm bào ngư,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,5,-1
VEG52,Nấm đông cô,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,5,-1
VEG53,Nấm đùi gà,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,5,-1
VEG54,Nấm hương,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,5,-1
VEG55,Nấm kim châm,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,5,-1
VEG56,Nấm Linh Chi,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,5,-1
VEG57,Nấm linh chi nâu,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,5,-1
VEG58,Nấm linh chi trắng,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,5,-1
VEG59,Nấm rơm,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,5,-1
SEA13,Ngao,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,3,60
SEA14,Nghêu,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,3,60
VEG60,Ngò gai,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,3,60
VEG61,Ngò om,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,3,60
VEG62,Ngò rí,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,3,60
VEG63,Ngó sen,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,3,-1
WAT02,Nước,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,-1,-1
WAT03,Nước cốt chanh,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,4,-1
WAT04,Nước cốt dừa,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,4,-1
WAT05,Nước cốt me,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,4,-1
WAT06,Nước cốt tắc,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,4,-1
WAT07,Nước dừa,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,4,-1
WAT08,Nước dừa tươi,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,4,-1
WAT09,Nước dùng gà,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,4,-1
WAT10,Nước lọc,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,-1,-1
SPI35,Nước mắm,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,-1,-1
SPI36,Nước mắm CHIN-SU,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,-1,-1
SPI37,Nước mắm Maggi,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,-1,-1
SPI38,Nước mắm Vị Xưa,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,-1,-1
SPI39,Nước màu,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,-1,-1
SPI40,Nước tương,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,-1,-1
SPI41,Nước tương Maggi,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,-1,-1
VEG64,Ớt,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,5,-1
SPI42,Ớt băm,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,5,-1
SPI43,Ớt bột,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,5,-1
VEG65,Ớt chuông,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,5,-1
VEG66,Ớt chuông đỏ,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,5,-1
VEG67,Ớt chuông vàng,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,5,-1
VEG68,Ớt chuông xanh,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,5,-1
VEG69,Ớt khô,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,-1,-1
VEG70,Ớt sa tế,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,-1,-1
VEG71,Ớt sừng,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,-1,-1
SEA15,Phi lê cá hồi,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,3,-1
MEA08,Phi lê gà,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,3,-1
VEG72,Rau dền,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,4,-1
VEG73,Rau mồng tơi,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,4,-1
VEG74,Rau muống,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,3,-1
VEG75,Rau ngót,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,3,-1
VEG76,Rau nhút,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,3,-1
VEG77,Rau răm,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,3,-1
VEG78,Rau tần ô (cải cúc),https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,3,-1
VEG79,Rễ ngò,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,3,-1
VEG80,Rong biển,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,4,-1
VEG81,Rong biển khô,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,14,-1
WAT11,Rượu trắng,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,-1,-1
VEG82,Sả,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,7,-1
