ID,Name,Image,Refrigerated,Frozen
VEG45,Lá giang,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,4,-1
VEG46,Lá hương thảo,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,4,-1
MEA06,Lòng heo,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,3,60
SPI30,Mắm ruốc,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,-1,-1
SPI31,Mắm tôm,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,-1,-1
VEG47,Măng tươi,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,7,-1
SPI32,Mật mía,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,-1,-1
SPI33,Mật ong,https://suckhoedoisong.qltns.mediacdn.vn/Images/bichvan/2017/02/27/mat-ong.jpg,-1,-1
VEG48,Me,http://baokhanhhoa.vn/dataimages/201503/original/images1050917_24_3.1.jpg,7,-1
VEG49,Me chua,https://cdn.tgdd.vn/Products/Images/8785/238559/bhx/me-trai-song-250g-202105061418206516.jpg,7,-1
RIC08,Mì vắt,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,-1,-1
MEA07,Mỡ heo,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,3,60
SEA12,Mực ống,https://product.hstatic.net/1000182631/product/squid-pic-1300x971-697d48b_master.png,3,60
SPI34,Muối,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,-1,-1
VEG50,Mướp hương,https://bhfood.vn/wp-content/uploads/2020/04/muCC9BoCC9BCC81p-huCC9BoCC9Bng-1-1.jpg,5,-1
VEG51,Nấm bào ngư,https://namduoclinhchi.com/wp-content/uploads/2021/02/nam-bao-ngu-nhat-3-scaled.jpg,5,-1
VEG52,Nấm đông cô,https://product.hstatic.net/1000141988/product/14_721933c0b2e44bc2803b95c814aafb6b.jpg,5,-1
VEG53,Nấm đùi gà,https://bizweb.dktcdn.net/100/382/166/products/nam-dui-ga-tuoi-5.jpg?v=1623509266980,5,-1
VEG54,Nấm hương,https://giaithuongtinhnguyen.vn/an-nhieu-nam-huong-co-tot-khong/imager_2_41481_700.jpg,5,-1
VEG55,Nấm kim châm,https://product.hstatic.net/200000340709/product/nam-kim-cham-han-quoc-enoki--500x500_6530b938b7ee4c359c5e4febc79ea4b6.jpg,5,-1
VEG56,Nấm Linh Chi,https://suckhoedoisong.qltns.mediacdn.vn/Images/nguyenkhanh/2021/03/10/Nam%20linh%20chi%20mot%20duoc%20lieu%20quy.jpg,5,-1
VEG57,Nấm linh chi nâu,https://namxanh.vn/wp-content/uploads/2020/03/nam-linh-chi-nau-tuoi.jpg,5,-1
VEG58,Nấm linh chi trắng,https://tramanhfood.com/wp-content/uploads/2020/01/Nam-Linh-Chi-Trang-1.png,5,-1
VEG59,Nấm rơm,https://vinmec-prod.s3.amazonaws.com/images/20210607_141030_605615_nam-rom-co-tac-dung-g.max-800x800.jpg,5,-1
SEA13,Ngao,https://media.vov.vn/uploaded/thuthuy/2015_12_12/ngao_hwdp.jpg,3,60
SEA14,Nghêu,https://tepbac.com/upload/species/ge_image/Meretrix-lyrata.jpg,3,60
VEG60,Ngò gai,https://dichothue.com.vn/upload/product/ngogai-lqht-2251.jpg,3,60
VEG61,Ngò om,https://image.thanhnien.vn/w1024/Uploaded/2014/Picture20119/MinhNguyet/Thang9/Raungoom.jpg,3,60
VEG62,Ngò rí,https://cf.shopee.vn/file/81c8867db38d8084fcc751ee8f36ae13,3,60
VEG63,Ngó sen,https://namlimxanh.vn/wp-content/uploads/2019/09/tac-dung-cua-ngo-sen-700x398.jpg,3,-1
WAT02,Nước,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,-1,-1
WAT03,Nước cốt chanh,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,4,-1
WAT04,Nước cốt dừa,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,4,-1
WAT05,Nước cốt me,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,4,-1
WAT06,Nước cốt tắc,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,4,-1
WAT07,Nước dừa,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,4,-1
WAT08,Nước dừa tươi,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,4,-1
WAT09,Nước dùng gà,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,4,-1
WAT10,Nước lọc,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,-1,-1
SPI35,Nước mắm,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,-1,-1
SPI36,Nước mắm CHIN-SU,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,-1,-1
SPI37,Nước mắm Maggi,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,-1,-1
SPI38,Nước mắm Vị Xưa,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,-1,-1
SPI39,Nước màu,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,-1,-1
SPI40,Nước tương,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,-1,-1
SPI41,Nước tương Maggi,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,-1,-1
VEG64,Ớt,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,5,-1
SPI42,Ớt băm,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,5,-1
SPI43,Ớt bột,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,5,-1
VEG65,Ớt chuông,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,5,-1
VEG66,Ớt chuông đỏ,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,5,-1
VEG67,Ớt chuông vàng,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,5,-1
VEG68,Ớt chuông xanh,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,5,-1
VEG69,Ớt khô,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,-1,-1
VEG70,Ớt sa tế,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,-1,-1
VEG71,Ớt sừng,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,-1,-1
SEA15,Phi lê cá hồi,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,3,-1
MEA08,Phi lê gà,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,3,-1
VEG72,Rau dền,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,4,-1
VEG73,Rau mồng tơi,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,4,-1
VEG74,Rau muống,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,3,-1
VEG75,Rau ngót,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,3,-1
VEG76,Rau nhút,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,3,-1
VEG77,Rau răm,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,3,-1
VEG78,Rau tần ô (cải cúc),https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,3,-1
VEG79,Rễ ngò,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,3,-1
VEG80,Rong biển,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,4,-1
VEG81,Rong biển khô,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,14,-1
WAT11,Rượu trắng,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,-1,-1
VEG82,Sả,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,7,-1
VEG83,Sả băm,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,5,-1
SPI44,Sa tế,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,-1,-1
SPI45,Sốt hoisin,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,-1,-1
SPI46,Sốt Mayonnaise,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,-1,-1
MEA09,Sườn heo,https://namanfarm.com/wp-content/uploads/2020/10/suon-non-heo-co-phan-sun-non-540x405.jpg,3,60
MEA14,Sườn non,https://product.hstatic.net/200000074883/product/suon-non_dc354f8e32464a5fb11ce3a0ef3c5184_master.jpg,3,60
VEG84,Thanh quế,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,5,-1
VEG85,Thì là,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,5,-1
MEA10,Thịt ba chỉ,https://famfood.vn/upload/img/products/21012021/thumbnail_2_ba-chi-heo-famfood.jpg,3,60
MEA11,Thịt bò,http://huytuanfood.com.vn/wp-content/uploads/2021/01/than-noi-bo-uc-tenderlion_363.jpeg,3,60
MEA12,Thịt gà,https://cdn.statically.io/img/gachaybo.com/f=auto/wp-content/uploads/2019/07/thit-ga-co-tanh-khong-3.jpg,3,60
MEA13,Thịt heo bằm,https://static.ubofood.vn/images/nac-vai-lon-xay-500g-01020318301_1000_750_9a797a26-1671-47fb-8025-848ea6c51cb2.JPEG,3,60
VEG86,Thơm,https://csfood.vn/wp-content/uploads/2020/10/Tr%C3%A1i-Th%C6%A1m-M%E1%BA%ADt-T%C6%B0%C6%A1i-VietGap.png,5,-1
RIC09,Thuốc bắc,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,-1,-1
SPI47,Tiêu,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,-1,-1
SPI48,Tiêu sọ,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,-1,-1
SPI49,Tiêu xanh,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,7,-1
SPI50,Tiêu xay,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,-1,-1
SPI51,Tỏi,https://file.medinet.gov.vn//UploadImages/tytxadongthanh/2019_10/toi.jpg?w=900,3,-1
SPI52,Tỏi băm,https://cdn.tgdd.vn/Products/Images/8820/222919/bhx/toi-bam-tui-100g-202012290828481776.jpg,3,-1
SPI53,Tỏi phi,http://tamghien.com/upload/product/toi-phi1617451561.jpg,3,-1
SEA16,Tôm khô,https://product.hstatic.net/1000030244/product/2_29a661ec76fd472991b011c7589116b2_grande.jpg,10,-1
SEA17,Tôm tươi,https://phucuongannghiep.vn/wp-content/uploads/phu-cuong-an-nghiep-tom-tuoi.jpg,14,-1
VEG87,Trái tắc,https://csfood.vn/wp-content/uploads/2020/04/Tr%C3%A1i-T%E1%BA%AFc-T%C6%B0%C6%A1i-VietRAT-T%C3%BAi-500g-2.png,7,-1
EGG01,Trứng cút,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR5iPBSmxkp-T1vlHnykJ8E1KFAac6owCHh5PHKjwTcTffsHH0B2XRseSvoCtEMHPmuXrQ&usqp=CAU,10,-1
EGG02,Trứng gà,http://images.cfyc.com.vn/upload/Lifestyle%20website%20article/Nutrition/giam-can-voi-trung/mon-an-giam-can-tu-trung%20%283%29.jpg,10,-1
EGG03,Trứng vịt,https://bizweb.dktcdn.net/thumb/1024x1024/100/361/770/products/trung-vit.jpg?v=1567653072927,10,-1
SPI54,Tương cà,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS58ktWUUaSlVfdG_C941AtUStY0-I6j0gnpg&usqp=CAU,10,-1
SPI55,Tương ớt,https://cdn-www.vinid.net/2020/10/f3233a4c-c%C3%A1ch-l%C3%A0m-t%C6%B0%C6%A1ng-%E1%BB%9Bt-%C4%83n-ph%E1%BB%9F-e1602733814469.jpeg,-1,-1
VEG88,Xà lách,https://khuyennongtphcm.com/wp-content/uploads/2020/08/rau-xa-lach.jpg,3,-1
VEG89,Xà lách xoong,https://bizweb.dktcdn.net/thumb/1024x1024/100/365/460/products/xa-lach-xoong-bb-jpg-v-1569831976000.jpg?v=1570695319893,3,-1
VEG90,Xoài chín,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,3,-1
SPI56,Xốt nêm thịt heo Knorr,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,-1,-1
SPI57,Xốt rô-ti Barona,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,-1,-1
